Drug Name	Drug Indications	Disease Name	Disease Gene Names	Disease Gene Entrez Gene IDs
Darbepoetin alfa	For the treatment of anemia (from renal transplants or certain HIV treatment)	HIV	CCL5;IL10;CCR2;CCR5	6352;3586;1231;1234
Daunorubicin	For remission induction in acute nonlymphocytic leukemia (myelogenous, monocytic, erythroid)of adults and for remission induction in acute lymphocytic leukemia of children and adults.	Leukemia	TAL1;TAL2;FLT3;NBN;ZNFN1A1;HOXD4;BCR;ARNT;KRAS;GMPS;MLLT10;ARHGEF12;PICALM;CEBPA;CHIC2;KIT;LPP;NPM1;NUP214;RUNX1;WHSC1L1;MLLT11;NUMA1;ZBTB16;PML;STAT5B;ARL11;P2RX7;ARHGAP26;NF1;PTPN11;BCL2;CCND1;TRA@;GATA1;ABL1;NQO1	6886;6887;2322;4683;10320;3233;613;405;3845;8833;8028;23365;8301;1050;26511;3815;4026;4869;8021;861;54904;10962;4926;7704;5371;6777;115761;5027;23092;4763;5781;596;595;6955;2623;25;1728
Daunorubicin	For remission induction in acute nonlymphocytic leukemia (myelogenous, monocytic, erythroid)of adults and for remission induction in acute lymphocytic leukemia of children and adults.	Myelogenous leukemia	ACSL6;IRF1;CBFB;CSF1R	23305;3659;865;1436
Dazoxiben	Prevention of venous thrombosis after suspected myocardial infarction	Myocardial infarction	F7;APOE;ACE;ALOX5AP;LGALS2;LTA;OLR1;THBD;GCLM;TNFSF4	2155;348;1636;241;3957;4049;4973;7056;2730;7292
Dazoxiben	Prevention of venous thrombosis after suspected myocardial infarction	Venous thrombosis	TEK;SERPINA10	7010;51156
Deferoxamine	Used to treat acute iron or aluminum toxicity (an excess of aluminum in the body) in certain patients. Also used in certain patients with anemia who must receive many blood transfusions.	Anemia	CDAN1;RPS19;PKLR;NT5C3;RHAG;SLC11A2;SPTB;ALAS2;ABCB7	146059;6223;5313;51251;6005;4891;6710;212;22
Deferoxamine	Used to treat acute iron or aluminum toxicity (an excess of aluminum in the body) in certain patients. Also used in certain patients with anemia who must receive many blood transfusions.	Iron overload/deficiency	TF;FTH1	7018;2495
Delavirdine	For the treatment of HIV-1 infection in combination with appropriate antiretroviral agents when therapy is warranted	HIV	CCL5;IL10;CCR2;CCR5	6352;3586;1231;1234
Delavirdine	For the treatment of HIV-1 infection in combination with appropriate antiretroviral agents when therapy is warranted	Viral infection	FCGR3A;OAS1	2214;4938
Demecarium bromide	For the topical treatment of chronic open-angle glaucoma.	Glaucoma	MYOC;OPTN;CYP1B1;OPA1	4653;10133;1545;4976
Demeclocycline	Used primarily to treat Lyme disease, acne, and bronchitis. Also indicated (but rarely used) to treat urinary tract infections, gum disease, malaria, and other bacterial infections such as gonorrhea and chlamydia. One of its other registered uses is the treatment of hyponatremia (low blood sodium concentration) due to the syndrome of inappropriate antidiuretic hormone (SIADH) where fluid restriction alone has been ineffective.	Malaria	CD36;ICAM1;TNF;GYPC;NOS2A	948;3383;7124;2995;4843
Demeclocycline	Used primarily to treat Lyme disease, acne, and bronchitis. Also indicated (but rarely used) to treat urinary tract infections, gum disease, malaria, and other bacterial infections such as gonorrhea and chlamydia. One of its other registered uses is the treatment of hyponatremia (low blood sodium concentration) due to the syndrome of inappropriate antidiuretic hormone (SIADH) where fluid restriction alone has been ineffective.	Urinary tract infection		
Denileukin diftitox	For treatment of cutaneous T-cell lymphoma	Lymphoma	RAP1GDS1;ATM;BCL8;BCL10;RAD54B;RAD54L;FCGR2B;MAD1L1;MSH2;SH2D1A	5910;472;606;8915;25788;8438;2213;8379;4436;4068
Deserpidine	For the treatment of hypertension.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Deslanoside	For the treatment and management of Congestive cardiac insufficiency, arrhythmias and heart failure.	Congestive heart failure	ADRA2C;ADRB1	152;153
Desloratadine	For the relief of symptoms of seasonal allergic rhinitis, pruritus, reduction in the number of hives in patients with chronic idiopathic urticaria.	HIV	CCL5;IL10;CCR2;CCR5	6352;3586;1231;1234
Desloratadine	For the relief of symptoms of seasonal allergic rhinitis, pruritus, reduction in the number of hives in patients with chronic idiopathic urticaria.	Allergic rhinitis	IL13	3596
Desmopressin	For the management of primary nocturnal enuresis and indicated as antidiuretic replacement therapy in the management of central diabetes insipidus and for the management of the temporary polyuria and polydipsia following head trauma or surgery in the pituitary	Diabetes insipidus	AVPR2;AQP2;AVP	554;359;551
Desmopressin	For the management of primary nocturnal enuresis and indicated as antidiuretic replacement therapy in the management of central diabetes insipidus and for the management of the temporary polyuria and polydipsia following head trauma or surgery in the pituitary	Enuresis		
Desmopressin acetate	For treatment of diabetes insipidus, prevention of polydipsia, polyuria and dehydration	Diabetes insipidus	AVPR2;AQP2;AVP	554;359;551
Desoxycorticosterone Pivalate	For treatment of adrenocortical insufficiency especially in multiple sclerosis, congenital cerebral palsy, polyarteritis nodosa, and rheumatoid arthritis.	Adrenocortical insufficiency	NR5A1	2516
Desoxycorticosterone Pivalate	For treatment of adrenocortical insufficiency especially in multiple sclerosis, congenital cerebral palsy, polyarteritis nodosa, and rheumatoid arthritis.	Cerebral palsy, ataxic, autosomal recessive		
Desoxycorticosterone Pivalate	For treatment of adrenocortical insufficiency especially in multiple sclerosis, congenital cerebral palsy, polyarteritis nodosa, and rheumatoid arthritis.	Multiple sclerosis	CIITA;PTPRC	4261;5788
Desoxycorticosterone Pivalate	For treatment of adrenocortical insufficiency especially in multiple sclerosis, congenital cerebral palsy, polyarteritis nodosa, and rheumatoid arthritis.	Rheumatoid arthritis	IL10;CIITA;NFKBIL1;PADI4;PTPN22;RUNX1;SLC22A4;MIF	3586;4261;4795;23569;26191;861;6583;4282
Dexfenfluramine	For the management of obesity including weight loss and maintenance of weight loss in patients on a reduced calorie diet	Obesity	POMC;MC4R;AKR1C2;NTRK2;AGRP;NR0B2;LEP;LEPR;PPARG;SIM1;UCP3;MC3R;SLC6A14;ADRB2;ADRB3;CART;ENPP1;GHRL;UCP1;UCP2;PCSK1	5443;4160;1646;4915;181;8431;3952;3953;5468;6492;7352;4159;11254;154;155;9607;5167;51738;7350;7351;5122
Dexrazoxane	For reducing the incidence and severity of cardiomyopathy associated with doxorubicin administration in women with metastatic breast cancer.	Breast cancer	CHEK2;PIK3CA;PPM1D;SLC22A18;TP53;BRCA1;BRCA2;TSG101;BRIP1;RAD54L;CDH1;AR;KRAS;RB1CC1;PHB;ATM;BARD1;RAD51;XRCC3	11200;5290;8493;5002;7157;672;675;7251;83990;8438;999;367;3845;9821;5245;472;580;5888;7517
Dexrazoxane	For reducing the incidence and severity of cardiomyopathy associated with doxorubicin administration in women with metastatic breast cancer.	Cardiomyopathy	MYL3;ACTC;MYH7;LMNA;TNNT2;TTN;DES;EYA4;SGCD;CSRP3;TCAP;ABCC9;DMD;MYL2;CAV3;MYH6;TNNC1;TPM1;TNNI3;MYBPC3;COX15;MYLK2;PRKAG2;PLN;TAZ	4634;70;4625;4000;7139;7273;1674;2070;6444;8048;8557;10060;1756;4633;859;4624;7134;7168;7137;4607;1355;85366;51422;5350;6901
Dexrazoxane	For reducing the incidence and severity of cardiomyopathy associated with doxorubicin administration in women with metastatic breast cancer.	Myopathy	ACTA1;CRYAB;MYF6;ITGA7;DES;DYSF;CAV3;CPT2;PGAM2;MYH7	58;1410;4618;3679;1674;8291;859;1376;5224;4625
Diazepam	Used in the treatment of severe anxiety disorders, as a hypnotic in the short-term management of insomnia, as a sedative and premedicant, as an anticonvulsant, and in the management of alcohol withdrawal syndrome.	Insomnia	GABRB3;PRNP	2562;5621
Diazoxide	Used parentally to treat hypertensive emergencies. Also used to treat hypoglycemia secondary to insulinoma.	Hypoglycemia	ABCC8	6833
Diazoxide	Used parentally to treat hypertensive emergencies. Also used to treat hypoglycemia secondary to insulinoma.	Insulinoma		
Dichlorphenamide	For adjunctive treatment of: chronic simple (open-angle) glaucoma, secondary glaucoma, and preoperatively in acute angle-closure glaucoma where delay of surgery is desired in order to lower intraocular pressure	Glaucoma	MYOC;OPTN;CYP1B1;OPA1	4653;10133;1545;4976
Diclofenac	For the acute and chronic treatment of signs and symptoms of osteoarthritis and rheumatoid arthritis.	Osteoarthritis	MATN3;FRZB;ASPN;COL2A1	4148;2487;54829;1280
Diclofenac	For the acute and chronic treatment of signs and symptoms of osteoarthritis and rheumatoid arthritis.	Rheumatoid arthritis	IL10;CIITA;NFKBIL1;PADI4;PTPN22;RUNX1;SLC22A4;MIF	3586;4261;4795;23569;26191;861;6583;4282
Dicumarol	For decreasing blood clotting	DECR deficiency		
Didanosine	For use, in combination with other antiretroviral agents, in the treatment of HIV-1 infection in adults.	HIV	CCL5;IL10;CCR2;CCR5	6352;3586;1231;1234
Didanosine	For use, in combination with other antiretroviral agents, in the treatment of HIV-1 infection in adults.	Viral infection	FCGR3A;OAS1	2214;4938
Diethylcarbamazine	Used for the treatment of individual patients with certain filarial diseases including tropical pulmonary eosinophilia, loiasis, and lymphatic filariasis caused by infection with Wuchereria bancrofti, Brugia malayi, or Brugia timori.	Eosinophilia		
Diethylcarbamazine	Used for the treatment of individual patients with certain filarial diseases including tropical pulmonary eosinophilia, loiasis, and lymphatic filariasis caused by infection with Wuchereria bancrofti, Brugia malayi, or Brugia timori.	Pulmonary disease		
Diethylpropion	Used in the management of exogenous obesity as a short-term adjunct (a few weeks)in a regimen of weight reduction based on caloric restriction.	Obesity	POMC;MC4R;AKR1C2;NTRK2;AGRP;NR0B2;LEP;LEPR;PPARG;SIM1;UCP3;MC3R;SLC6A14;ADRB2;ADRB3;CART;ENPP1;GHRL;UCP1;UCP2;PCSK1	5443;4160;1646;4915;181;8431;3952;3953;5468;6492;7352;4159;11254;154;155;9607;5167;51738;7350;7351;5122
Diethylstilbestrol	Used in the treatment of prostate cancer. Previously used in the prevention of miscarriage or premature delivery in pregnant women prone to miscarriage or premature delivery.	Prostate cancer	RNASEL;BRCA2;PTEN;AR;CHEK2;MSR1;EPHB2;KLF6;MAD1L1;ATBF1;ELAC2;MXI1	6041;675;5728;367;11200;4481;2048;1316;8379;463;60528;4601
Diflunisal	For acute or long-term use for symptomatic treatment of mild to moderate pain, osteoarthritis, and rheumatoid arthritis.	Osteoarthritis	MATN3;FRZB;ASPN;COL2A1	4148;2487;54829;1280
Diflunisal	For acute or long-term use for symptomatic treatment of mild to moderate pain, osteoarthritis, and rheumatoid arthritis.	Rheumatoid arthritis	IL10;CIITA;NFKBIL1;PADI4;PTPN22;RUNX1;SLC22A4;MIF	3586;4261;4795;23569;26191;861;6583;4282
Digoxin	For the treatment and management of congestive cardiac insufficiency, arrhythmias and heart failure.	Congestive heart failure	ADRA2C;ADRB1	152;153
Dihydroergotamine	For the acute treatment of migraine headaches with or without aura and the acute treatment of cluster headache episodes.	Migraine	ATP1A2;EDNRA;ESR1;TNF	477;1909;2099;7124
Diltiazem	For the treatment of Hypertension	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Dinoprost Tromethamine	Used for aborting second-trimester pregnancy (between the twelfth to eighteenth week of gestation) and in incomplete abortion or for therapeutic abortion in cases of intrauterine fetal death and congenital abnormalities incompatible with life. Also used at low-doses for medically indicated induction of labor at term. Also injected intra-arterially for use as a vasodilator to assist in angiography.	Intrauterine and postnatal growth retardation	IGF1R;IGF2	3480;3481
Dinoprostone	For the termination of pregnancy from the 12th through the 20th gestational week as calculated from the first day of the last normal menstrual period. Also for evacuation of the uterine contents in the management of missed abortion or intrauterine fetal death up to 28 weeks of gestational age as calculated from the first day of the last normal menstrual period, and also used in the management of nonmetastatic gestational trophoblastic disease (benign hydatidiform mole).	Hydatidiform mole		
Dinoprostone	For the termination of pregnancy from the 12th through the 20th gestational week as calculated from the first day of the last normal menstrual period. Also for evacuation of the uterine contents in the management of missed abortion or intrauterine fetal death up to 28 weeks of gestational age as calculated from the first day of the last normal menstrual period, and also used in the management of nonmetastatic gestational trophoblastic disease (benign hydatidiform mole).	Intrauterine and postnatal growth retardation	IGF1R;IGF2	3480;3481
Diphenhydramine	For the treatment of symptoms associated with Vertigo/Meniere's disease, nausea and vomiting, motion sickness and insect bite.	Meniere disease	COCH	1690
Diphenidol	For use in the prevention and symptomatic treatment of peripheral (labyrinthine)vertigo and associated nausea and vomiting that occur in such conditions as Meniere's disease and surgery of the middle and inner ear. Also for the control of nausea and vomiting associated with postoperative states, malignant neoplasms, labyrinthine disturbances, antineoplastic agent therapy, radiation sickness, and infectious diseases.	Meniere disease	COCH	1690
Diphenidol	For use in the prevention and symptomatic treatment of peripheral (labyrinthine)vertigo and associated nausea and vomiting that occur in such conditions as Meniere's disease and surgery of the middle and inner ear. Also for the control of nausea and vomiting associated with postoperative states, malignant neoplasms, labyrinthine disturbances, antineoplastic agent therapy, radiation sickness, and infectious diseases.	Radiation sensitivity/chromosome instability syndrome, autosomal dominant		
Diphenylpyraline	For use in the treatment of allergic rhinitis, hay fever, and allergic skin disorders.	Allergic rhinitis	IL13	3596
Dipivefrin	Used as initial therapy for the control of intraocular pressure in chronic open-angle glaucoma.	Glaucoma	MYOC;OPTN;CYP1B1;OPA1	4653;10133;1545;4976
Dirithromycin	For the treatment of the following mild-to-moderate infections caused by susceptible strains of microorganisms: acute bacterial exacerbations of chronic bronchitis, secondary bacterial infection of acute bronchitis, community-acquired pneumonia, pharyngitis/tonsilitis, and uncomplicated skin and skin structure infections.	Chronic infections, due to opsonin defect	MBL2	4153
Disopyramide	For the treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia, ventricular pre-excitation and cardiac dysrhythmias.	Ventricular tachycardia	GNAI2;CASQ2;RYR2	2771;845;6262
Disulfiram	For the treatment and management of chronic alcoholism	Alcoholism	GABRA2	2555
Divalproex	For treatment and management of seizure disorders, mania, and prophylactic treatment of migraine headache.	Migraine	ATP1A2;EDNRA;ESR1;TNF	477;1909;2099;7124
Docetaxel	For the treatment of patients with locally advanced or metastatic breast cancer after failure of prior chemotherapy. Also used as a single agent in the treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of prior platinum-based chemotherapy. Lastly, for use, in combination with prednisone, in the treatment of patients with androgen independent (hormone refractory) metastatic prostate cancer.	Breast cancer	CHEK2;PIK3CA;PPM1D;SLC22A18;TP53;BRCA1;BRCA2;TSG101;BRIP1;RAD54L;CDH1;AR;KRAS;RB1CC1;PHB;ATM;BARD1;RAD51;XRCC3	11200;5290;8493;5002;7157;672;675;7251;83990;8438;999;367;3845;9821;5245;472;580;5888;7517
Docetaxel	For the treatment of patients with locally advanced or metastatic breast cancer after failure of prior chemotherapy. Also used as a single agent in the treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of prior platinum-based chemotherapy. Lastly, for use, in combination with prednisone, in the treatment of patients with androgen independent (hormone refractory) metastatic prostate cancer.	Lung cancer	KRAS;PPP2R1B;SLC22A18;MAP3K8	3845;5519;5002;1326
